THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
"Coincidence is incidental when it does not depend on man’s volition or on his natural disposition, but results in either harm or benefit to the body. Examples: A patient falls and he bleeds.","وأعني بالإتفاقي العرضي: ما يتفق على الإنسان لا بقصده، ولا بالانبعاث من طبيعته، فيضرّه أو ينفعه. مثل أن يسقط المريض، فيجري منه دم "
or a person takes a cold drink during his illness because of a sudden urge. These two examples [of coincidence] are incidental because their occurrence is unintentional and not a matter of choice.,"أو يشرب في مرضه ماءًا باردا إتّباعاً لشهوته. وهذان الضربان يُسمّيان إتفاقًا، لوقوعها من غير إرادة ولا اختيار."
"As for actions done by intent, they include those which are purposefully undertaken after being motivated to do so by a dream or some other cause. Imitation refers to cases where a doctor accepts the findings of any one of the three mentioned above",وأما الإرادي: فهو الذي جربوه باختيارهم لباعث بعثهم على تجربته من منام أو غيره. وأما التشبيه فهو أن يتقبل الطبيب في فعله أحد هذه الثلاثة المذكورة
"by which I mean natural, accidental, or intentional. To illustrate: when a patient suffering from fever of the blood has a nosebleed whether naturally.","أعني الطبع والعرض والإرادة، مثل أنه إذا رأى صاحب الحمّى الدموية رعف طبعًا"
"accidentally or deliberately induced, the doctor [noticing the beneficial result of the nosebleed] employs bloodletting on other patients suffering from this fever.","أو لعارض عرض، أو يقصد إلى اجتلاب رعاف، استعمل في غيره من أصحاب هذه الحمى الفصد،"
"By doing this, the doctor would be imitating methods discovered by coincidence or as a result of intent and choice. Most medicine based on experience results from this method.","فكان الطبيب في ذلك شبه فعله بفعل الإتفاق، أو بفعل الإرادة والإختيار. وبهذا النوع خصوصًا حصل أكثر الطب التجريبي. "
"As for transference (naql), this applies to cases where doctors are faced with diseases they have not encountered before, or ones they had seen but were unable to find the medicines which they had used in the past.","وأما النقل فهو أنّ الأطباء ربّما دهمتهم أمراض لم يكونوا شاهدوها، أو شاهدوها إلا أنهم لا يتمكنون في الحال من الأدوية التي جربوها فيها"
"In these instances, they use a transfer of a technique from a situation that was similar. There are three types of transference: First: a medicine prescribed for one illness is used for another which is similar.",واتخذوا الإنتقال من الشيء إلى شبهه آلة. وهذا النقل على ثلاثة أوجه: أحدها أن ينقل الدواء من علة إلى علّة شبيهة بها
"For example, when the cooling medication used for the swelling known as humra (redness) is applied to the swelling known as namla, because the two swellings are similar in warmth and coloration.","كنقل الأدوية المبرّدة من الورم المسمى حمرة إلى الورم المسمى نملة، لأنهما متشابهان في الحرارة وحمرة اللون. "
"Second: the medicament used on one part of the body is applied to another similar part. For example, treating the upper aim as you would treat the thigh because of their similarity in form and shape. Third: a similar medication is used in place of another.","والثاني أن ينقل الدّواء من عضو إلى عضو شبيه به، كما ينقل من العضد إلى الفخذ لتشابههما في الطبع والهيئة. والثالث أن يستعمل دواء مكان دواءِ يشبهه"
"For example, when, for treating diarrhoea, a drug made of medlar is used instead of one made of quince, because of their similarity in causing retention. It is maintained by some that this third type of transference should not be regarded as one of the methods of medicine until after it has been tried.","كما يستعمل في علاج الإستطلاق الزّعرور مكان السّفرجل، لتشابههما في القبض، ويزعمون إنّ هذا الثالث المسمى بالنقل، لا يصير طريقًا من طرق الطب إلا بعد أن يُجّرب"
"but that it is sufficient to try it only once instead of several times, because knowledge of its validity was established, or virtually so, before the trial.",ولكن يكفي في تصحيحه أن يُجرّب مرة واحدة فيصير بمنزلة ما جرّبه مرارًا عدة. وذلك لأن العلم بصحته كأنه قد حصل قبل التجربة أو كاد
"However, trying out a medicine even only once complements knowledge and confirms it. The method of transference, it is said, needs acuteness and practice.",غير أن تجربته مرة واحدة تكملة للعلم واستظهار فيه. قالوا: وهذا النقل يحتاج فيه إلى حذق ودربة. 
"As for experiments (tajarib) which we have formerly mentioned, they may be carried out by any interested person who sets out to do so. This is their method for achieving the aim of medicine.",فأما التجارب التي تقدم ذكرها فممكنة لكلّ من حاولها وشرع فيها. فهذا هو طريقهم إلى غاية الطب. 
"As for “the advocates of analogy” (Dogmatists Rationalists), they admit that perception and experience are two sources of knowledge and skills. They add, however, that no skill inherent in a person can develop unless these two sources are made a tool of the intellect.","وأما أصحاب القياس، فإنهم مقرون بأن الحس والتجربة هما مبدءان للعلوم والصناعات إلا أنهم يقولون: لا تقوم الصناعة الذي في النفس إلا بعد أن يجعل هذان آلة للفكر"
"For that reason they employ speculation (fikr) and analogy (qiyas), the latter being a method used for discovering the unknown by means of what is known. From this, they deduce laws fundamental to medicine and other skills.","ويستعمل بالفكر والقياس الذي هو معرفة المجهولات بالمعلوم، فيستخرج به القوانين التي يحتاج إليها في الطب وفي غيره من الصناعات. "
"For that reason they employ speculation (fikr) and analogy (qiyds), the latter being a method used for discovering the unknown by means of what is known. From this, they deduce laws fundamental to medicine and other skills. These factors are of two types. ","قالوا: فيجب أن نعمل الفكر والقياس، حتى نتعرف طبائع الأبدان، أعني أمزجتها، ونتعرّف قوى الأسباب المغيرة للأبدان. وهذه الأسباب ضربان"
"One type has an inevitable effect on the body, and comprises six items: the surrounding air, movement and stillness, food and drink, sleep and awakening, evacuation and retention.","فضرب يغيّر الأبدان بالضرورة، وهو ستة أشياء: الهواء المحيط، والحركة والسكون، والأطعمة والأشربة: والنوم واليقظة والاستطلاق والاحتباس"
"and mental states such as sadness, joy, anger, rage and fear. The other type affects the body but can be avoided. Examples are the sword, the wild beast, fire, and similar things, knowledge of which helps to determine the type of treatment.","وحوادث النفس كالغمّ والفرح والغضب والغيظ والفزع. وضرب يغيرها لا بالضرورة، كالسيف والسبع والنّار وما أشبهها ويتعرّف نوع العلة التي يقصد لمداواتها. "
"**********That is because things which can be used to treat the illness and restore health cannot be decided without knowing the type of ailment. For example, one should first determine whether an illness is caused by heat, or cold or some other factor.","وذلك أنّ الأشياء التي يعالج بها العلّة، وتسترد الصحة لا يمكن استخراجها إلا بعد معرفة نوع العلة. مثل أن نعرف أولا أن العلة من الحرارة، أو من البرودة، أو غيرهما. "
"so as to decide whether to use therapies that have a cooling or a warming effect. After that, one can determine what quantities of these medicines to use in treating that ailment.","فيستخرج أن المداواة يجب أن تكون بالمبرّدة أو بالمسخّنة، ثم بعد ذلك يتدرج إلى الوقوف على كمية ما يجب استعماله من هذه الأدوية في تلك العلة. "
"Then one should assess the seriousness of the illness which is determined by things known as “daughters of the foundations” (banat al-arkan, secondary considerations). These provide the evidence on which treatment is based, examples being the patient’s strength, age and temperament.","ويتعرف مقدار العلة. وهذا يكون من الأشياء التي تسمى بنات الأركان، وهى الشواهد التي عليها مبني الأمر في العلاج، كقوة المريض، وسنّه، ومزاجه"
"the time of year, the condition of the air at the time, the condition of the area in which the patient lives, and the patient’s habits and occupation.","والوقت الحاضر من أوقات السنة، وحال الهواءِ في ذلك اليوم، وحال البلد الذي سكنه المريض، والعادة التي اعتادها، والصناعة التي تعاطاها. "
Dogmatists say that when these things are known completely and definitely and then employed in treating individuals.,"فيقول ""أصحاب القياس"" أن هذه الأشياء حتى عرفها الإنسان معرفة كلية قانونية، ثم استعملها في أشخاص الناس"
it is possible to deduce the cause of a disease and to determine the strength of the medication and the amount to be administered by using analogy and reason.,"استنبط سبب مرض، وعرف قوى ما يعالجه به وقدر على التصرف في العلاج بالقياس وإجالة الفكر. "
"Empiricists agree with Dogmatists on most of these matters, because both schools base their knowledge on things that they have seen with their own eyes",وأصحاب التجارب موافقون لأصحاب القياس في أكثر هذه الأشياء لآن الفرقتين جميعًا تتعرّفان أشياء بأعيانها
"by which I mean, the patient and the evidence on which “secondary considerations” are founded. Also, both schools employ one treatment per illness.","أعني المريض والشواهد التي عليها مبني الأمر المسمى بنات الأركان، ويستعملان في المرض الواحد علاجًا واحدًا. "
"In general, those things by which the Dogmatists deduce a beneficial treatment are the same as what the Empiricists have retained and observed regarding the treatment of the same disease.","وبالجملة تلك الأشياء التي تأخذ منها أصحاب القياس الاستدلال على ما ينفع به في العلاج بها بأعيانها، يتذكر أصحاب التجربة ما قد حفظوه وترصدوه من علاج ذلك المرض. "
"The difference between the two schools is that Empiricists diagnose a disease, find the evidence, and decide on a medication by drawing on memory (hifz) and observation (rasd). Dogmatists, on the other hand, arrive at the same end by deduction (istidlal).","والفرق بينهما: أن أصحاب التجربة يعرفون المرض والشّواهد وجميع ما تكون به المداواة ""بالحفظ والرّصد"". وأما أصحاب القياس فيعرفون هذا ""بالاستدلال""."
"When treating a patient, Empiricists take into account their previous experience. So they make note of the patient’s condition, such as the type of illness and its intensity, the patient’s temperament, age, and other points already mentioned.",فإن المجربين إذا عالجوا مريضًا التفتوا إلى ما جربوه فيمن حاله كحاله في نوع المرض ومقداره ومزاج المريض وسنه وسائر ما ذكرناه
They employ in their treatment what they have found to be beneficial in earlier cases.,فاستعملوا في تلك المعالجة التي رأوها ناجعة في المرض الأول. وأصحاب القياس قد قام في نفوسهم قانون ما يجب أن يعمل في كل نوع من أنواع الأمراض
Dogmatists have developed among themselves rules that must be used in the treatment of every type of disease.,
"based on assessment of the patient’s age, temperament, habit, and place of habitation. From these rules they extrapolate how to treat an illness.","بحسب الشواهد التي هي السن والمزاج والعادة والبلد، فيستخرجون بذلك القانون معالجة المرض. "
Empiricists abstain from using analogy because it is prone to differences of opinion and because there can be no certainty with regard to one opinion over the other. Difference of opinion.,"وأصحاب التجارب يستعفون من القياس، لأنه يقع فيه الاختلاف، ولا ينعقد به اليقين في حكم من الأحكام والاختلاف"
"they maintain, means that something has not been understood. They say, “For this reason we avoid the use of analogy in the treatment of the human body.” Should a body be damaged through a mistake, they claim, there would be no benefit to anyone.","""زعموا"" ينبئ عن أن الشيء المختلف فيه لم يدرك. قالوا: فلهذا نتجنّب استعماله في أبدان الناس التي إن فسدت بالخطأ عليها، لم ينتفع في شيء من أسبابها "
"as there is in the case of a door which, if ruined by a carpenter’s mistake, its planks can still be used to make chairs, and what is left over from the chairs can be made into poles, while the rest can be used as firewood.","كالباب الذي إن فسد بخطأَ النجار صلحت الواحة للكراسيّ، ثمّ ما يفضل عن الكراسي للأوتاد، وما يفضل عن الأوتاد للوقود. "
"Likewise, Empiricists discount anatomy (tashrih)K and many other things used by Dogmatists, their reason being that such practices are suitable for use only as a last resort.","ويهملون التشريح أيضًا وأشياء أخر كثيرة مما يستعمله أصحاب القياس، ويبرهنون أنّه يحتاج إليه بالإضطرار. "
"As for “the advocates of methods” (Methodists), they do not take into consideration causes, nor people’s habits and ages, nor the time of year, temperaments M and habitats, nor faculties and parts of the body.","فأما أصحاب الحيل فلا ينظرون في الأسباب، ولا في العادات والأسنان، ولا في أوقات السنة، والأمزجة، والبلدان، ولا في القوى والأعضاءِ."
"When they deal with diseases, they also do not consider each disease individually because, they claim, diseases are countless. Thus, they restrict themselves to studying general principles of diseases for.","وإذا صاروا إلى الأمراضِ لم ينظروا أيضًا في الأفراد الخاصّة منها، زعمًا منهم أنها لا نهاية لها، واقتصروا على تعرّف الجمل العامّيّة منها. "
"in their view, these general principles can be conceptualised by the intellect, and the study of them is simpler and more profitable. They say that these general principles are three in number: deficient excretion (al-istimsak), excessive excretion (al-istirsal) and a combination of the two.","وذلك لأنها عندهم تنحصر في العقل، ويكون النظر فيها أجود وأعود. ويقولون أنّ هذه الجمل ثلاث: الاستمساك والاسترسال والتركيب منهما. "
"By deficient excretion, they mean blockage of superfluous matter normally discharged from the body. Examples are urine retention, constipation and similar conditions.",يعنون بالاستمساك احتباس الفضول التي من شأنها أن تجري من البدن كالأسر والحصر وغيرهما. 
". By excessive excretion, they mean abnormal discharge of superfluous matter, such as diarrhoea and incontinence. By a combination of both, they mean a condition where both are present, such as a swollen eye with flowing tears.",يعنون بالاسترسال الإفراط في استفراغ هذه الفضول كالخلفة وسلس البول. ويعنون بالمركب منهما العلة الجامعة للأمرين كالعين إذا كانت وارمة كثيرة الدموع. 
"Treatment of all three groups, they say, should be either through the regulation of food and drink, movement and rest, and sleep and wakefulness, or through the use of medication.","ويقولون: إنّ مداواة هذه الجمل الثلاث يكون، إما بالتدبير بالمطعم والمشرب، والحركة والسكون، والنوم واليقظة، وإما بعلاج إليه، إمّا باستعمال الأدوية. "
"Deficient excretion, they maintain, should be counteracted by medication causing excretion, while excessive discharge is counterbalanced by retentive drugs. Patients with conditions that combine the two should be given treatment to counteract the worse or more severe affliction.","ويقولون يجب أن يقاوم الاستمساك بالإرسال، والاسترسال بالإمساك، والمركب منهما بمعالجة الأهم منهما والأشدّ. "
"Now, here we have to challenge the advocates of experience as well as the advocates of methods (the Empiricists and the Methodists), and to demonstrate that right is on the side of the analogists (the Dogmatists). Know that experience (al-tajriba), as understood by this school, is not a matter of skill.","ومن ها هنا ينبغي أن نطعن على اصحاب التجربة وأصحاب الحيل، ونبين أن الحق مع أصحاب القياس. اعلم أن التجربة التي لهذه الفرقة ليس لها مذهب صناعي"
like the other techniques by which artisans strive towards perfection of their crafts. All craftsmen have general rules by which they achieve their aim.,مثل سائر الطرق التي يصل بها الصناع إلى إحكام صناعاتهم. فإنّ كلّ الصناع معهم قوانين كلية يتوصلون بها إلى ما يلتمسون
It goes without saying that no writer when asked to write about a subject would embark on plagiarism.,إذ كان مِن البيّن أنه ليس بكاتب مَن إذا كُلّف أن يكتب في معنى من المعاني كتب شيئًا كان قد كتبه غيره
"nor would a sculptor, when asked to shape a sculpture, proceed to make a copy of another one.","ولا بنقّاش مَن إذا التمست منه صورة وضع مثال الصورة بين يديه، ثم نسخها. "
"With regard to the charge made by the Empiricists against the Dogmatists, its falsehood has been demonstrated in books on logic. It has been shown that valid methods and rules exist by which the covert can be deduced from the overt in a way that leaves no room for doubt.","فأما طعن هذه الفرقة على صناعة القياس فقد ظهر فساده في كتب المنطق، وظهر أنّ ها هنا طرقًا وقوانين وثيقة يعلم بها الشيء الخفيّ من الشيء الظاهر، علمًا لا يُشك فيه"
"The differences of opinion that result from analogical deduction do not invalidate the process nor discredit it. Indeed, where there is blame, it should be laid against the Dogmatists themselves who can make an error either because they are not proficient in logic and thus make a mistake in the application of analogy.","وأن الاختلاف فيما يدرك بالقياس لا يزيّف القياس ولا يزري به. وإنمّا يؤتى القائسون من قبل أنفسهم، لأنهم إمّا لا يحسنون المنطق، فيغلطون في تركيب القياس"
"or because they use false premises rather than correct ones. Or, they might be afflicted by some nervous condition or be keen to seek promotion and ascendancy [and so make an error].","أو في أخذ المقدمّات الكاذبة بدلًا من الصادقة، وإما تعتريهم حال أخرى من عصبية أو طلب رئاسة وغلبة. "
A person who denies analogy would do so either by employing analogy itself or by intuitive understanding. But the first option is not open to him because analogy has already been denied.,"ومن أبطل القياس، فإما أن يبطله بقياس أو ببديهة من العقل. فإن أبطله بالقياس، كان إبطاله محالًا. لأن قياسه أيضًا باطل. "
"As for intuitive understanding, this has not made people unanimously opposed to the use of analogy; on the contrary, most of them use it in the affairs of this life and the life to come.","وإن كانت بديهة العقل هى المبطلة؛ فلَمْ تتساوى الناس في إبطاله، بل أكثرهم يستعمله في أمور معاشه ومعاده. "
"Moreover, disqualifying analogy would undermine all professions, fields of learning, religions, deliberations and regulations may God protect us from such an eventuality!.","وبعد فإنّ في تعطيل القياس تعطيلًا للصناعات والعلوم والديانات والمشورات والتدبيرات، وبالله مما يؤدّي إلى ذلك العياذ. "
"The Empiricists are at fault for overlooking anatomy and other medical fundamentals, some of which I mentioned in the chapter “On the definition of medicine” and in my treatise devoted to the schools [of medicine].","وخطأ أصحاب التجربة بإهمالهم التشريح ولسائر ما أهملوه من أصول الطبّ، يظهر ببعض ما ذكرته في بعض باب حدّ الطب وبما أودعته مقالتي المقصودة على الفرق. "
What raises the prestige of Dogmatists and lowers that of the Empiricists is that Dogmatists work out from a thing itself what course to take.,"وممّا يرفع راية القياس ويغضّ من أصحاب التجربة، أن ""أصحاب القياس"" يستدلون من نفس الأمر على ما ينبغي أن يعمل"
"they deduce from each circumstance what natural conditions should be maintained and what abnormality, in the disease itself or its cause or its accompanying symptoms, has to be rooted out.","فيستدلّون من كل ما هو في الطبع على أنه يجب حفظه، ومن كلّ ما خرج عن الطبع من مرض، وسبب له، وعرض، على أنه يجب استئصاله. "
"By applying analogy, they discover that a thing is natural and that its treatment should be such and such or that a thing is unnatural and that the necessary remedy is such and such.","لأنهم قد علموا بالقياس أن هذا الشيء هو الطبيعي، وعلّته المقوّمة له كيت وكيت، وأن هذا الشيء هو خارج عن الطّبيعة، والمقتضى له كذى، والمزيل له كذى"
"Empiricists essentially fail to recognise the causes of things, as well as the basic principles and the factors that make something obligatory or prevent it occurring. As a result, they do not examine the essence of a matter but rather direct their attention only to what they had previously observed as already mentioned","وأما ""المجرّبون"" فلم تقم في نفوسهم علل الأشياء والقوانين والموجبات للشيء والنافيات، فلذلك لا ينظرون في نفس الأمر، بل يلتفتون إلى ما رصدوه كما قلنا"
"and so they always deduce the treatment of one case from that of another. With regard to Methodists, they cause great harm to medicine by imagining that they can remove superfluous material and condense the study of medicine so as to reduce the time needed to absorb it.","فيستخرجون علاج الشيء من غيره أبدًا. وأما أصحاب الحيل فإنهم بظنهم أنهم يحذفون الفضول، ويختصرون الصناعة، ويقربون المسافة؛ جلبوا على الطب المضرّة العظيمة. "
"What they consider as superfluous, however, is regarded as basic by the other two schools.","فإنّ الذي يحسبونه فضولًا، هو الذي يعتقده الفرقتان الأخريان أصولًا. فنقول لهم: أنتم قد حذفتم النظر في الأسباب"
We say to them: You have not given due consideration to causes.,
We all know that a blow from a sword and the bite of an animal are causes of a cut in the flesh. Let us suppose that a person was bitten by a rabid dog in such a way as to tear apart his flesh.,"وقد علمنا أن ضربة السيف ونهشة الحيوان سببان، لتفرق الإتصال الحادث عنهما. فأنزلوا أن إنسانًا عضّه كَلْبٌ كَلِبٌ عضّة خرقت موضعًا من بدنه"
"and the dog was known to be rabid through the appearance of the usual symptoms that is, protrusion of the eyes, lolling of the tongue, looseness of the tail, and a thirst that cannot be quenched.","وعُرِف أن الكَلْبَ كَلِبٌ من العلامات الدالة عليه، وهى نُتُوّ عينيه، ودلوع لسانه، واسترخاء ذنبه. وأن يعطش المعضوض فلا يُروى. "
The remedy needed in this case is the same as that employed for all other poisonous bites.,"فالمداواة من هذا كالمداواة من نهش سائر ذوات السمّ: إما من خارج فبالأدوية الحارة الحادة توضع على القرحة، فتوسعها فتفتح رأسها، وتجتذب السمّ منها. "
" Treatment can be either external, by applying hot, acidic medicaments on the wound, then widening and opening it, and drawing out the poison.",
"Or the treatment can be internal by administering things which will absorb the poison, such as a theriac. If this is not done, and the wound closes and cicatrises, the patient will soon suffer from hydrophobia and will die.","وإما من داخل فبالأشياء التي تنشف السمّ كالترياق. فإن أنت لم تفعل ذلك، ودمّلت القرحة، لم يلبث المريض أن يفزع من الماء ويموت. "
"Any gash of this sort must be opened out and widened. But an injury made by the sword, by fire, or by an unpoisoned arrow should be closed up and allowed to cicatrise completely.","فما كان من تفرّق الإتصال مثل ذلك، يجب أن يوسّع ويفتح، وما كان عن سيف أو نار أو سهْمٍ غير مسموم، فالواجب أن يلحم ويدمّل فقط. "
"Therefore, looking for the causes of ailments is absolutely necessary and of great usefulness, because treatment as has been shown varies depending upon the causes.","فإذا النظر في أمر الأسباب مما يجب ضرورة، ومما يفيد منفعة، لأن المداواة كما رأيتم تختلف وتتغير بحسب الأسباب. "
"We also say to them [the Methodists]: you have overlooked the importance of age, another necessary and useful factor. Do you not see that when treatment involves bloodletting, we refrain from using it when the patient is a child because of his weak constitution.","ونقول لهم أيضًا: قد حذفتم النظر في الأسنان، وهو مما يضطّر إليه ويقع الإنتفاع به، ألا ترون إنّا إذا هممنا بفصد عرق لا نفصده لصبي صغير، لأنّ قوته ضعيفة"
"and also when the patient is old because he has little blood and the condition of his body is cold and dry? Instead, we bleed only those","ولا لشيخ، لأنه قليل الدم، مسلّم البدن إلى البرد واليبس، وإنما نفصد من هو في عنفوان الشباب، لأن تلك الموانع غير موجودة فيه، فإذًا معرفة الأسنان واجبه نافعة. "
"in the prime of youth, because in them such restraining factors do not exist. Thus, knowing the age of a patient is indispensable and useful.",
"Again, we say to them: you have disregarded the importance of habitat. We do not hesitate to bleed a person who lives in a temperate clime.","ونقول لهم: قد حذفتم النظر في أمر البلدان، ونحن إذا أردنا الفصد، لم نمتنع منه في البلد المعتدل المزاج"
"In northern bitterly cold countries and in southern extremely hot countries, we are wary of bleeding the patient and tend to avoid it. In northern countries, the cold air affects the body adversely, and one should not weaken it further by bleeding it.","فأما في البلدان الشمالية المفرطة البرد، وفي الجنوبية المفرطة الحرّ، فنتجنب الفصد ونتوقاه. أما في الشمالية فلا نخزل القوة فيها بالبرد لا يتحامل عليها بالفصد. "
,"وأما في الجنوبية فلكثرة ما يحلله الهواء من الأبدان بحرارته، لا يحيف عليها بزيادة التحليل. "
"Therefore, it is indispensable and beneficial to know the climate (literally, the temperament) of the patient’s place of residence. In addition, we say to them: a doctor needs to be familiar with the organs of the human body. The treatment of a bloody swelling (al-waram al-damawi, probably haematoma). for example, differs according to the organ affected.",فإذًا تعرّف مزاج البلد واجب نافع. ونقول لهم أيضًا: إنّ علم الأعضاءِ مما يحتاج الطبيب إليه. فإن الورم الدموي مثلًا يختلف مداواته بحسب العضو الوارم
"If the swelling is in the eye, it needs eye ointments; if in the ear, it should be treated with red wine and rose oil; if on the uvula, it should be treated with mulberry syrup.","إن كان في العين، فدواؤه الأكحال. وإن كان في الأذن، فدواؤه خلّ الخمر ودهن الورد. وأن كان في اللهاة، فدواؤه ربّ التوت"
"if it is on the leg, it should be bandaged with a compress of hot water. We also say to them: excretion is not a sign of illness unless it is excessive in matters that are discharged naturally.","وإن كان في الساق، فدواؤه الضّماد والنطول بالماء الحارّ. ونقول لهم: إن الاسترسال لا يكون مرضًا على الإطلاق، إلّا إذا أفرط في الأشياءِ التي تبرز من البدن بالطّبع"
"such as urine, excrement or sweat. Nor does it point to a disease if it is normal that it should be discharged, as in the case of blood. We have observed, for example, that an excess in natural excretions can sometimes be beneficial, such as when the crisis of a disease sets in.","كالبول والثّفل والعرَق، ولا إذا كان في الأشياء التي من شأنها البروز بالطّبع كالدم. وذلك إنّا قد نرى تلك التي من شأنها البروز تخرج بإفراط فتنفع كما يكون في البحرانات"
Similarly we have seen blood dispelled from the body and still be beneficial and bring about the restoration of health. We also say to them: it is not laudable for [the study of] a profession to be abbreviated and the time devoted to practising it be curtailed.,"وكذلك قد نرى الدم ينفجر من البدن، فينفع به، ويصير سببًا لصحته. ونقول لهم: ليس من مناقب الصّناعة الاختصار، وإمكان استغراق عملها في الزمان القصير"
"just as it is not commendable to exceed what is appropriate yet exhaustive. The glory of a profession is that it should be self-sufficient, with no need for anything else.","كما ليس من مناقبها الزيادة على الكفاية والتطويل. بل فخر الصناعة أن يكون في نفسها كاملة، ولما يحتاج إليه فيها حاوية."
"Plato said, “A profession lies between too little and too much.” He means to say that too few topics to study in a profession reduce its functionality, while an excess in their number overstretches its limits and makes it harder to absorb.","وقد قال أفلاطن: ""إنّ الصناعة بين القليل والكثير"". أراد أنّ التقاسيم القليلة في الصناعة تنقصها، والتقاسيم الكثيرة تباعد ما بين أطرافها، وتصعب مأخذها."
"If a summary is sufficient, as the Methodists maintain, then it would be enough to know that an animal is simply an animal. This is insufficient.","ولو كانت الجملة كافية، كما زعم ""المحتالون""، لأكتفى في معرفة الحيوانات بأن يعرف جنسها الذي هو الحيوان. وليس ذلك بكافٍ"
"however, since each animal species, in addition to what it shares with other animals, has specific attributes that single it out from the others. Through awareness of these attributes, knowledge becomes complete. Examples: defining man as “a mortal that speaks”.","لأنّ لكلّ نوع من أنواع الحيوان بعد مشاركته لغيره في الحيوانية خاصّيّات يتميز بها من غيره، وبمعرفتها تتمّ المعرفة. مثل: أنّ حدّ الإنسان حي ناطق"
and defining a horse as “a mortal that neighs”. I shall conclude the discussion of these three schools by saying that medical practice can accommodate the Dogmatists with regard to decisions about treatment and diagnosis.,"وحدّ الفرس حىي صهّال. وأختمُ الكلام فيما بين هذه الفرق بشيء يبيّن أنّ التصرّف في الطب يتسع على ""أصحاب القياس"" في وجوه المعالجات وتعرّف الأمراض."
"It is uneasy, however, with the Empiricists because they leave out analogy. Still less can it condone the Methodists because they examine generalities without regard to the particulars.","ويضيق على ""أصحاب التجارب"" بتركههم القياس. وإنّ الخطأ يكثر على ""أصحاب الحيل"" بنظرهم في العامّيّات دون الخاصيّات. "
"Galen learned through observation that ulcerous flesh exudes superfluous matter belonging to the third type of waste (hadm) namely suppuration and sweat, just as they are exuded in other parts of the body.","وهو أن جالينوس لمّا علم من طريق النظر أنّ الموضع المتقرّح من الجسد يتولّد فيه فضل الهضم الثالث، وهما الوسخ والعرق، كما يتولدان في سائر المواضع"
He also realised that such discharge increases in an ulcerated area because of its inability to assimilate the nourishment that comes to it and because of excess fluid.,بل يزيدان في المتقرّح لضعفه عن إحالة ما ينجذب إليه من الغذاءِ وفضل بلّته
"Thus, he decided that no healthy flesh can grow over an ulcer without first removing the suppuration and drying up the exudate.","علم أنّ القرحة لا يمكن أن ينبت فيها لحم يشبه اللّحم الصحيح، إلّا بعد أن يجلى الوسخ، ويجفّف العرق"
"From this, he came to the conclusion that flesh will form over ulcers provided that they are treated with a medication that cleanses without causing undue desiccation.","فأداه ذلك إلى أنّ إنبات اللحم في القروح المحتاجة إلى ذلك إنما يكون بالأدوية التي تجلوا، مع تجفيف غير مفرط"
"In so doing, he made an addition to information regarding this condition and advanced knowledge regarding the healing process. Galen also realised that verdigris not merely cleanses but also causes a strong stinging sensation as though the healthy flesh is being eaten away.","وأحاط علمًا بطبيعة المرض، وارتقى إلى علم طبيعة الشافي. ولما علم أيضًا أنّ الزنجار يتجاوز الجلاء إلى اللّذع، حتى أنه يأكل اللّحم الصحيح"
"When he also found out that the qirufi salve, formed of wax and oil, does not cleanse the ulcer but, instead, overlays it with dirt and filth.","وأن القيروطي المختوم من الشّمع والدّهن ليس إنمّا لا يجلوا، بل يلبس القرحة وسخًا ووضَرًا"
"he realised that, if he mixed the two ingredients together, the qirufi salve would counterbalance the acidity of the verdigris and the cleansing power of the verdigris would be maintained without the danger of eroding healthy flesh.","علم أنّه إذا جمع بين هذين، كسر القيروطي من حدّة الزّنجار، واكتسب من الزّنجار قدرًا من الحدة يجلوا، ولا يأكل اللّحم الصحيح"
"The mixture succeeded in healing ulcerous flesh even though neither ingredient could do so on its own. When Galen arrived at this conclusion by using analogy, he tested it and he was proved correct.","فخلط منها جميعًا دواء ينبت اللحم على أنّ واحدًا منها ليس ممّا ينبت اللّحم. ولمّا استنبط ذلك بالقياس، جرّبه، فوجده كذلك. "
"This example demonstrates the extent to which the advocates of analogy (the Dogmatists) can be innovative. Empiricists, on the other hand, are unable to use the above reasoning, because they do not go beyond what they observe through their senses.","فعلى هذا المثال يتسع المجال على ""أصحاب القياس"" جدًّا. فأما ""أصحاب التجربة""، فلا يمكنهم ذلك، لأنّهم لا يتجاوزون حواسّهم"
Fields of knowledge depending on the senses are few and insignificant compared to the rational sciences.,والعلوم الحسيّة في غاية القلّة والنّزارة إذا أضيفت إلى العلوم العقلية. 
"With regard to the Methodists, when they proposed that swelling was a disease of retention and that all ailments of this type must be given remedies that cause excretion, they made a grave mistake and committed a crime against the patient.","وأما ""أصحاب الحيل""، فإنّه لما عمدوا على أن الورم مرض استمساك، وعلى أن كلّ استمساك يحتاج إلى أن يرسل؛ أفضى إلى خطأ عظيم وجناية على المريض. "
That is because a swelling in the groin can be treated with pure resolving drugs alone.,وذلك أن الورم في الأربية يمكن أن يحلّل بالأدوية المحللة الخالصة وحدها.
"but a swelling in the liver or the stomach cannot be treated with unadulterated resolving agents, softeners or laxatives.","فأما الورم في الكبد، أو في فم المعدة، فلا يمكن أن يعالج بمحض المحلّلات والمرخيات والمليّنات"
