IBN KHALLIKAN’S BIOGRAPHICAL DICTIONARY.,وفيات الأعيان لابن خلِّكان
سقطمنالنسخة,"[وأورد له الحظيري في كتاب "" زينة الدهر "" وذكر أنه نقلها من خطه وذكر أنه قال هذه القصيدة بمكة في سنة 472:\r\nذكر الأحباب والوطنا... والهوى والإلف والسكنا\r\nفبكى شجواً وحق له... مدنف بالشوق حلف ضنى\r\nأبعدت مرمى يد رجمت... من خراسان به اليمنا\r\nخلست من بين أضلعه... بالنوى قلباً له ضمنا\r\nمن لمشتاق يميله... ذات سجع ميلت فننا\r\nكلما هاج الهديل به... طرباً هاجت له شجنا\r\nلم تعرض بالحنين بمن... مسعد إلا وقال أنا\r\nلك يا ورقاء أسوة من... لم تذيقي جفنه الوسنا\r\nبك أنسي مثل أنسك بي... فتعالي نبد ما كمنا\r\nنتشاكى ما نجن إذا... نحت شجواً صحت واحزنا\r\nغير أني منك أعدل إن... عاد سري في الهوى علنا\r\nأنا لا أنت البعيد هوى... أنا لا أنت الغريب هنا\r\nأنا فرد يا حمام وها... أنت وألإلف القرين ثنا\r\nأنصفونا يا بني حسن... ليس هذا منكم حسنا\r\nكم أحلت محرماتكم... بالعيون النجل أنفسنا\r\nنحن وفد الله عندكم... ما لكم جيرانه ولنا\r\nلم يجرنا منكم حرم... من أتاه خائفاً أمنا]"
"Al-Bari was born at Baghdad on the tenth of Safar, A. H. four hundred and forty three (A. D. one thousand and fifty one), and he died on Tuesday, the seventeenth of the latter Jumada, (some say the first,) A. H. five hundred and twenty four (April, A. D. one thousand one hundred and thirty).","وكانت ولادته في العاشر من صفر سنة ثلاث وأربعين وأربعمائة ببغداد. وتوفي يوم الثلاثاء سابع عشر جمادى الآخرة، وقيل الأولى، سنة أربع وعشرين وخمسمائة، وكان قد عمي في آخر عمره، رحمه الله تعالى."
"Dabbas means a maker or seller of dibs. Badri signifies belonging to al-Badriya, a part of Baghdad so called, and in which al-Bari resided; for which reason he obtained this surname.","والدباس - بفتح الدال المهملة وتشديد الباء الموحدة وبعد الألف سين مهملة - وهذا يقال لمن يعمل الدبس أو يبيعه.\r\nوالبدري - بفتح الباء الموحدة وسطون الدال المهملة وبعدها راء - هذه النسبة إلى البدرية، وهي محلة ببغداد المحروسة وكان البارع المذكور يسكنها فنسب إليها."
AL-TOGHRAI,الطغرائي
"Abu Ismail al-Husain Ibn Ali Ibn Muhammad Ibn Abd al-Samad, surnamed al-Amid (or Amid al-Dawlat, pillar of the state), Fakhr al-Kuttab (the glory of the katibs), Muwaiyad al-Din (sustained in religion), and generally known by the name of al-Toghrai, was a celebrated munshi and a native of Ispahan. He possessed great talents, a subtle genius, and surpassed all bis contemporaries in the art of composing in prose and verse.","السيد فخر الكتاب أبو إسماعيل الحسين بن علي بن محمد بن عبد الصمد الملقب مؤيد الدين الأصبهاني المنشئ المعروف بالطغرائي؛ كان غزير الفضل لطيف الطبع، فاق أهل عصره بصنعة النظم والنثر."
"Al-Samani speaks of him in the Kitab al-Ansab under the article Munshi, and after making his eulogium, he gives an extract from one of his poems descriptive of a wax-light, and states that he was put to death in the year five hundred and fifteen (A. D. one thousand one hundred and twenty one or one thousand one hundred and twenty two).","ذكره أبو سعد ابن السمعاني في نسبة المنشئ من كتاب "" الأنساب ""، وأثنى عليه، وأورد قطعة من شعره في صفة الشمعة، وذكر أنه قتل في سنة خمس عشرة وخمسمائة."
"Al-Toghrai has left behind him a diwan (or collection) of good poetry, and one of his finest pieces is the qasida entitled the Lamiyat ah A jam, which he composed at Baghdad in the year five hundred and five (A. D. one thousand one hundred and eleven or one thousand one hundred and twelve). In this poem he describes his own situation and complains of the lime in which he lived. It begins thus.","والطغرائي المذكور له ديوان شعر جيد، ومن محاسن شعره قصيدته المعروفة بلامية العجم، وكان عملها ببغداد في سنة خمس وخمسمائة يصف حاله ويشكو زمانه، وهي التي أولها:"
"My strength of mind has preserved me from frivolity, and I was adorned by my talents, though decked with no other ornament.",أصالة الرأي صانتني عن الخطل... وحلية الفضل زانتني لدى العطل
سقطمنالنسخة,[مجدي أخيراً ومجدي أولاً شرع... والشمس رأد الضحى كالشمس في الطفل\r\nفيم الإقامة بالزوراء لا سكني... بها ولا ناقتي فيها ولا جملي\r\nناء عن الأهل صفر الكف منفرد... كالسيف عري متناه عن الخلل\r\nفلا صديق إليه مشتكى حزني... ولا أنيس إليه منتهى جذلي\r\nطال اغترابي حتى حن راحلتي... ورحلها وقرى العسالة الذبل\r\nوضج من لغب نضوي وعج لما... يلقى ركابي ولح الركب في عذلي\r\nأريد بسطة كف أستعين بها... على قضاء حقوق للعلا قبلي\r\nوالدهر يعكس آمالي ويقنعني... من الغنيمة بعد الكد بالقفل\r\nوذي شطاط كصدر الرمح معتقل... بمثله غير هياب ولا وكل\r\nحلو الفكاهة مر الجد قد مزجت... بشدة البأس منه رقة الغزل\r\nطردت سرح الكرى عن ورد مقلته... والليل أغرى سوام النوم بالمقل\r\nوالركب ميل على اكوار من طرب... صاح وآخر من خمر الهوى ثمل\r\nفقلت أدعوك للجلى لتنصرني... وأنت تخذلني في الحادث الجلل\r\nتنام عيني وعين النجم ساهرة... وتستحيل وصبغ الليل لم يحل\r\nفهل تعين على غي هممت به... والغي يزجر أحياناً عن الفشل\r\nإني أريد طروق الحي من إضم... وقد حماه رماة من بين ثعل\r\nيحمون بالبيض والسمر اللدان به... سود الغدائر حمر الحلي والحلل\r\nفسر بنا في ذمام الليل معتسفاً... فنفحة الطيب تهدينا إلى الحلل\r\nفالحب حيث العدا والأسد رابضة... حول الكناس لها غاب من الأسل\r\nنؤم ناشئة بالجزع قد سقيت... نصالها بمياه الغنج والكحل\r\nقد زاد طيب أحاديث الكرام بها... ما بالكرائم من جبن ومن بخل\r\nتبيت نار الهوى منهن في كبد... حرى ونار القرى منهم على قلل\r\nيقتلن أنضاء حب لا حراك بها... وينحرون كرام الخيل والإبل\r\nيشفى لديغ العوالي في بيوتهم... بنهلة من غدير الخمر والعسل\r\nلعل إلمامة بالجزع ثانية... يدب منها نسيم البرء في عللي\r\nلا أكره الطعنة النجلاء قد شفعت... برشقة من نبال الأعين النجل\r\nولا أهاب الصفاح البيض تسعدني... باللمح من خلل الأستار والكلل\r\nولا أخل بغزلان تغازلني... ولو دهتني أسود الغيل بالغيل\r\nحب السلامة يثني هم صاحبه... عن المعالي ويغري المرء بالكسل\r\nفإن جنحت إليه فاتخذ نفقاً... في الأرض أو سلماً في الجو واعتزل\r\nودع غمار العلا للمقدمين على... ركوبها واقتنع منهن بالبلل\r\nرضى الذليل بخفض العيش مسكنة... والعز تحت رسيم الأينق الذلل\r\nفادرأ بها في نحور البيد حافلة... معارضات مثاني اللجم بالجدل\r\nإن العلا حدثتني وهي صادقة... فيما تحدث أن العز في النقل\r\nلو أن في شرف المأوى بلوغ منى... لم تبرح الشمس يوماً دارة الحمل\r\nأهبت بالحظ لو ناديت مستمعاً... والحظ عني بالجهال في شغل\r\nلعله إن بدا فضلي ونقصهم... لعينه نام عنهم أو تنبه لي\r\nأعلل النفس بالآمال أرقبها... ما أضيق العيش لولا فسحة الأمل\r\nلم أرض بالعيش والأيام مقبلة... فكيف أرضى وقد ولت على عجل\r\nغالى بنفسي عرفاني بقيمتها... فصنتها عن رخيص القدر مبتذل\r\nوعادة النصل أن يزهى بجوهره... وليس يعمل إلا في يدي بطل\r\nما كنت أوثر أن يمتد بي زمني... حتى أرى دولة الأوغاد والسفل\r\nتقدمتني أناس كان شوطهم... وراء خطوي إذ أمشي على مهل\r\nهذا جزاء امرئ أقرانه درجوا... من قبله فتمنى فسحة الأجل\r\nوإن علاني من دوني فلا عجب... لي أسوة بانحطاط الشمس عن زحل\r\nفاصبر لها غير محتال ولا ضجر... في حادث الدهر ما يغني عن الحيل\r\nأعدى عدوك أدنى من وثقت به... فحاذر الناس واصحبهم على دخل\r\nوحسن ظنك بالأيام معجزة... فظن شراً وكن منها على وجل\r\nغاض الوفاء وفاض الغدر وانفرجت... مسافة الخلف بين القول العمل\r\nوشان صدقك عند الناس كذبهم... وهل يطابق معوج بمعتدل\r\nإن كان ينجع شيء في ثباتهم... على العهود فسبقُ السيف للعذَل\r\nيا وارداً سؤر عيش كله كدر... أنفقت صفوك في أيامك الأول\r\nفيم اقتحامك لج البحر تركبه... وأنت يكفيك منه مصة الوشل\r\nملك القناعة لا يخشى عليه ولا... يحتاج فيه إلى الأنصار والحول\r\nترجو البقاء بدار لا ثبات لها... فهل سمعت بظل غير منتقل\r\nويا خبيراً على الأسرار مطلعاً... أصمت ففي الصمت منجاة من الزلل\r\nقد رشحوك لأمر لو فطنت له... فاربأ بنفسك أن ترعى مع الهمل
"This qasida, which consists of more than sixty verses, contains every beauty of style and is the very essence and excellence of poetry; it is too long to be given here, but it is generally known and in the hands of the public.",سقطمنالنسخة
"One of his sentimental pieces is as follows: O my heart what hast thon to do with love? It is long since indifference had settled in thee, and since the lover's ardor has been restrained. Dost thou not feel pleasure in repose, now that those with whom you passed round the cup of burning passion have recovered their reason? The zephyr fell into languor and revived again, bat from the malady of which thou complains, no deliverance can be hoped. I behold the wavering of the lightning-flash, and the heart within my bosom wavers and beats.",ومن رقيق شعره قوله:\r\nيا قلب مالك والهوى من بعد ما... طاب السلو وأقصر العشاق\r\nأو ما بدا لك في الإفاقة والألى... نازعتهم كأس الغرام أفاقوا\r\nمرض النسيم وصح والداء الذي... تشكوه لا يرجى له إفراق\r\nوهذا خفوق البرق والقلب الذي... تطوى عليه أضالعي خفاق
"By the same: Eyes! treasure up your tears; it will surely come, the threatened moment of separation (from my beloved). If tomorrow unite (us) lovers, shame then be on the eyes which have not been fatigued with weeping.",وله أيضاً:\r\nأجما البكا يا مقلتي فإننا... على موعد للبين لا شك واقع\r\nإذا جمع العشاق موعدهم غداً... فواخجلتا إن لم تعني مدامعي
سقطمنالنسخة,ومن شعره:\r\nولا غرو إن أهديت من فيض بره... إليه قليلاً ليس يعتده نزرا\r\nفإني رأيت الغيم يحمل ماءه... من البحر غمراً ثم يهدي له قطرا ومن شعره:\r\nلا تحقرن الرأي وهو موافق... حكم الصواب وإن بدا من ناقص\r\nفالدر وهو أجل شيء يقتنى... ما حط رتبته هوان الغائص وله أيضاً:\r\nأخاك أخاك فهو أجل ذخر... إذا نابتك نايبة الزمان\r\nوإن رابت إساءته فهبها... لما فيه من الشيم الحسان\r\nتريد مهذباً لا غش فيه... وهل عود يفوح بلا دخان ومن شعره:\r\nما فلان: إلا كجيفة ميت... والضرورات أحوجتنا إليه\r\nفمن اضطر غير باغ ولا عا... د فلا إثم في الكتاب عليه وله من أبيات:\r\nلا غرو إن حزت المروءة والتقى... والدين والدنيا لم تتصدع\r\nإن النواظر والقلوب صغيرة... تحوي الكبيرة وليس بالمستبدع وله:\r\nجامل أخاك إذا استربت بوده... وانظر به عقب الزمان يعاد\r\nفإن استمر على الفساد فخله... فالعضو يقطع للفساد الزائد
"Abu Al-Maali Al-Haziri mentions al-Toghrai in his Zinat al-Dahr and cites some fragments of his poetry; he is also spoken of by Ibn al-Mustawfi, in his History of Arbela, who says that he acted for some time as vizir in that city.","وذكره أبو المعالي الحظيري في كتاب ""زينة الدهر"" وذكر له مقاطيع، وذكره أبو البركات ابن المستوفي في ""تاريخ إربل"" وقال: إنه ولي الوزارة بمدينة إربل مدة،"
"and the katib Imad al-din states, in his history of the Seljukides, entitled Nusrat al-Fatra wa Osrat al-Fitra, that al-Toghrai was styled al-Ustad (the master) and that he was vizir at Mosul to the Seljuk sultan Masud Ibn Muhammad; when this prince,’ he continues, gave battle to his brother the sultan Mahmud near Hamadan, he was defeated, and among the first prisoners taken, was the Ustaz Abu Ismail, Masud’s vizir.","وذكر العماد الكاتب في كتاب "" نصرة الفترة وعصرة الفطرة "" - وهو تاريخ الدولة السلجوقية - أن الطغرائي المذكور كان ينعت بالأستاذ، وكان وزير السلطان مسعود بن محمد السلجوقي بالموصل، وأنه لما جرى المصاف بينه وبين أخيه السلطان محمود بالقرب من همذان وكانت النصرة لمحمود، فأول من أخذ الأستاذ أبو إسماعيل وزير مسعود،"
"News of this circumstance was brought to Kamal al-Mulk Nizam al-din Abu Talib Ali Ibn Ahmad Ibn “Harb al-Sumairmi, the vizir to Mahmud, on which Shihab al-din Asaad (who was then deputy toghra-writer to al-Nusair the katib), made the remark that that man, meaning the Ustaz, was an atheist; and the vizir here observed that atheists should be put to death. Al-Toghrai was thus slain unjustly.","فأخبر به وزير محمود، وهو الكمال نظام الدين أو طالب علي بن أحمد بن حرب السميرمي، فقال الشهاب أسعد - وكان طغرائياً في ذلك الوقت نيابة عن النصير الكاتب -: هذا الرجل ملحد، يعني الأستاذ، فقال وزير محمود: من يكن ملحداً يقتل، فقتل ظلماً."
"they dreaded his superior abilities, and put him to death on this pretext, without having any regard for his personal merit. This was in A. H. five hundred and thirteen (A. D. one thousand one hundred and nineteen or one thousand one hundred and twenty).” But other accounts assign his death to the years five hundred and fourteen and five hundred and eighteen. He was then aged upwards of sixty years, and in his poetry are found these two verses, composed on a new-born son who had been brought to him, and which indicate that he had then attained his fifty-seventh year.","وقد كانوا خافوا منه، ولا قبل عليه لفضله، فاعتدوا قتله بهذه الحجة، وكانت هذه الواقعة سنة ثلاث عشرة وخمسمائة، وقيل إنه قتل سنة أربع عشرة، وقيل ثماني عشرة، وقد جاوز ستين سنة، وفي شعره ما يدل على أنه بلغ سبعاً وخمسين سنة لأنه قال وقد جاءه مولود:"
"This little one has come in my old age; it rejoices my sight, but increases my pensiveness: a lapse of seven and fifty years would make impression even on a rock. How long he lived after composing these verses, God knows best.","هذا الصغير الذي وافى على كبري... أقر عيني ولكن زاد في فكري\r\nسبع وخمسون لو مرت على حجر... لبان تأثيرها في صفحة الحجر والله تعالى أعلم بما عاش بعد ذلك، رحمه الله تعالى."
"The vizir al-Kamal al-Sumairmi was killed on Tuesday, the last day of the month of Safar, A. H. five hundred and sixteen (May, A. D. one thousand one hundred and twenty two), in the Bazar (suk) of Baghdad near the Nizamiya college; it is said that he fell by the hand of a black slave who had belonged to al-Toghrai, and who slew him to revenge his master’s death.","وقتل الكمال السميرمي الوزير المذكور يوم الثلاثاء سلخ صفر سنة ست عشرة وخمسمائة في السوق ببغداد عند المدرسة النظامية، وقيل: قتله عبد أسود كان للطغرائي المذكور، لأنه قتل أستاذه."
"Toghrai means a toghra-writer; the toghra is the flourish written with a broad-nibbed pen, at the beginning of (official) papers, over the Bismillah, and containing the tides of the prince from whom die document emanates. Toghra is a Persian word.","والطغرائي - بضم الطاء المهملة وسكون الغين المعجمة وفتح الراء وبعدها الف مقصورة - هذه النسبة إلى من يكتب الطغري، وهي الطرة التي تكتب في أعلى الكتب فوق البسملة بالقلم الغليظ، ومضمونها نعوت الملك الذي صدر الكتاب عنه، وهي لفظة أعجمية."
"Sumairmi means belonging to Sumairm, a town between Ispahan and Shiraz, on the extreme limit of the Ispahan district.","والسميرمي - بضم السين المهملة وفتح الميم وسكون الياء المثناة من تحتها وبعدها راء ثم ميم - هذه النسبة إلى سميرم، وهي بلدة بين أصبهان وشيراز، وهي آخر حدود أصبهان."
IBN AL-KHAZIN THE KATIB,أبو الفوارس ابن الخازن
"Abu Al-Fawaris al-Husain Ibn Ali Ibn al-Husain, generally known by (he appellation of Ibn al-Khazin the katib, was the first copyist of his time; he surpassed all others by the quantity of his transcriptions, having made five hundred copies of the Quran, some of a compact form and some of a folio size. He composed also some good poetry, of which we may cite the following specimen.","أبو الفوارس الحسين بن علي بن الحسين المعروف بابن الخازن الكاتب؛ كان فريد عصره في الكتابة، وكتب ما لم يكتبه أحد، فإنه كتب فيما كتب خمسمائة نسخة من كتاب الله العزيز ما بين ربعة وجامع، وله شعر حسن، فمن ذلك قوله:"
"Fortune torments him who pursues her, but the man of prudence despises the world and enjoys repose. The prince who obtains her delusive favors must at last be contented with a shroud. He gathers wealth with pain, and with pain he leaves it after him. My only wish is to feel assured that I shall meet God. I detest the world, and why should I love it, since its gifts are lethargy (to the soul) ? It has not endured for any man before me; why then this care and sadness?",عنت الدنيا لطالبها... واستراح الزاهد الفطن\r\nكل ملك نال زخرفتها... حسبه مما حوى كفن\r\nيقتني مالاً ويتركه... في كلا الحالين مفتتن\r\nأملي كوني على ثقة... من لقاء الله مرتهن\r\nأكره الدنيا وكيف بها... والذي تسخو به وسن\r\nلم تدم قبلي على أحد... فلماذا الهم والحَزَن
"The historian Muhammad Ibn Abi Al-Fadl (Abd al-Malik) al-Hamadani says, in his supplement to the Tajarib al-Umam of (Ibn) Miskawaih, that Ibn al-Khazin died suddenly in the month of Zi Al-Hijja, A. H. five hundred and two (July, A. D. one thousand four hundred and nine), and the sharif Abu Al-Omar Al-Mubarak Ibn Ahmad al-Ansari states that his death took place on Monday night, and that he was buried the next day, Tuesday, the twenty sixth of the above-month.","قال محمد بن أبي الفضل الهمذاني المؤرخ في ""ذيل تجاب الأمم"" لمسكويه: توفي ابن الخازن المذكور في ذي الحجة سنة اثنتين وخمسمائة فجأة، رحمه الله تعالى. وقال الشريف أبو العمر المبارك بن أحمد الأنصاري: توفي ليلة الثلاثاء، ودفن من الغد، وهو اليوم السادس والعشرون من الشهر المذكور."
ABU ABD ALLAH THE SHIITE,أبو عبد الله الشيعي
"Abu Abd Allah al-Husain Ibn Ahmad. Ibn Muhammad Ibn Zakariya, surnamed al-Shii (the Shiite), was the assertor of the rights of Obaid Allah al-Mahdi, the ancestor of the (Fatimite) sovereigns of Egypt. His revolt in Maghrib is a celebrated event, and works have been specially composed on that subject. We shall give an account of some of his proceedings in the life of Obaid Allah al-Mahdi.","أبو عبد الله الحسين بن أحمد بن محمد بن زكريا المعروف بالشيعي القائم بدعوة عبيد الله المهدي جد ملوك مصر؛ وقصته في القيام بالغرب مشهورة، وله بذلك سيرة مسطورة، وسيأتي في حرف العين عند ذكر المهدي عبيد الله طرف من أخباره إن شاء الله تعالى."
"Abu Abd Allah the Shiite, a native of Sana in Yemen, was one of those crafty men who know how to regulate their conduct so as to obtain their ends; for he entered Ifrikiya alone, without money and without men, yet by his unremitting efforts, he succeeded in obtaining possession of that kingdom and expelling its sovereign Abd Mudar Ziadat Allah, the last of the Aghlabite {minces, who fled to the East and there died. The history of these events would be long to relate.","وأبو عبد الله المذكور من أهل صنعاء اليمن، وكان من الرجال الدهاة الخبيرين بما يصنعون، فإنه دخل إفريقية وحيداً بلا مال ولا رجال، ولم يزل يسعى إلى أن ملكها، وهرب ملكها أبو مضر زيادة الله آخر ملوك بني الأغلب منه إلى بلاد المشرق وهلك هناك، وحديثه يطول."
"When he had established the affairs of al-Mahdi on a solid foundation, and reduced the country under his authority and made it ready for his reception, al-Mahdi set out from the East, but being unable to join the Shiite, he proceeded to Sejelmtea, where he was discovered and thrown into prison by the sovereign of that city, Alyasai, the last of the Midrar dynasty.","ولما مهد القواعد للمهدي ووطد له البلاد وأقبل المهدي من المشرق، وعجز عن الوصول إلى أبي عبد الله المذكور، وتوجه إلى سجلماسة، وأحس به صاحبها اليسع آخر ملوك بني مدرار،"
"Abu Abd Allah the Shiite, having marched thither, delivered him from confinement and placed the supreme authority in his hands. Abu Al-Abbas Ahmad, the Shiite’s elder brother, then arrived and reproached him for what he had done: “How” said he to the Shiite, you were master of the country, and uncontrolled arbiter of its affairs, yet you have delivered it over to another, and consent to remain in the rank of an inferior!” By a repetition of such discourses, he induced his brother to repent of his conduct, and to meditate treason, but al-Mahdi’s apprehensions were awakened, and he suborned persons who murdered them both at the same time. This event happened in the middle of the latter Jumada, A. H. two hundred and ninety eight (February, A. D. nine hundred and eleven), at al-Rakkada, between the two castles.","فأمسكه واعتقله، ومضى إليه أبو عبد الله وأخرجه من الاعتقال وفوض إليه أمر المملكة - اجتمع به أخوه أبو العباس أحمد، وكان هو الأكبر، أعني أحمد، وندمه على ما فعل، وقال له: تكون أنت صاحب البلاد والمستقل بأمورها وتسلمها إلى غيرك وتبقى من جملة الأتباع، وكرر عليه القول، فندم أبو عبد الله على ما صنع واضمر الغدر، واستشعر منهما المهدي، فدس عليهما من قتلهما في ساعة واحدة، وذلك في منتصف جمادى الآخرة سنة ثمان وتسعين ومائتين بمدينة رقادة بين القصرين، رحمهما الله تعالى."
Shii is the denomination given to the partisans of the imam Ali Ibn Abi Talib.,"والشيعي - بكسر الشين المعجمة وسكون الياء المثناة من تحتها وبعدها عين مهملة - هذه النسبة إلى من يتولى شيعة الإمام علي بن أبي طالب، رضي الله عنه."
Rakkada was a town in the dependencies of Kairawan in Ifrikiya.,ورقادة - بفتح الراء وتشديد القاف وبعد الألف دال مهملة وبعد الدال هاء ساكنة - مدينة من أعمال القيروان من بلاد إفريقية.
"As for Ziadat Allah, mention is made of him in these terms by Ibn Asakir, in his History of Damascus: “Abu Mudar Ziadat Allah Ibn Abd Allah Ibn Ibrahim Ibn Ahmad Ibn Muhammad Ibn al-Aghlab Ibn Ibrahim Ibn Salim Ibn Ikal Ibn Khafaja: this is Ziadat Allah the less, the last of the princes descended from al-Aghlab al-Tamimi.","وأما زيادة الله فقد ذكره الحافظ ابن عساكر في "" تاريخ دمشق "" فقال: هو أبو مضر زيادة الله بن عبد الله بن إبراهيم بن أحمد بن محمد بن الأغلب ابن إبراهيم بن سالم بن عقال بن خفاجة، وهو زيادة الله الأصغر، آخر ملوك بني الأغلب بإفريقية، التميمي، وقال:"
"He came to Damascus in the year three hundred and two (A. D. nine hundred and fourteen or nine hundred and fifteen), on his way to Baghdad, after his defeat in Ifrikiya and the loss of his kingdom. He then says at the end of the article.","قدم دمشق سنة اثنتين وثلثمائة مجتازاً إلى بغداد حين غلب على ملكه بإفريقية، ثم قال في آخر الترجمة:"
"I have been informed that Ziadat Allah died at Ramla, in the month of the first Jumada, A. H. three hundred and four (November, A. D. nine hundred and sixteen); he was buried at Ramla, and his grave having sunk in, it was covered over (with boards) and left so. He was a descendant of al-Aghlab Ibn Amr al-Mazini al-Basri; Amr had been appointed governor of Maghrib by al-Rashid, on the death of Idris Ibn Abd Allah Ibn al-Hasan Ibn al-Husain Ibn Ali Ibn Abi Talib.","بلغني أن زيادة الله توفي بالرملة في سنة أربع وثلثمائة في جمادى الأولى منها، ودفن بالرملة، فساخ قبره فسقف عليه وترك مكانه، وهو من ولد الأغلب بن عمرو المازني البصري، وكان الرشيد ولى عمراً المغرب بعد أن مات إدريس بن عبد الله بن الحسن بن الحسن بن علي بن أبي طالب، رضي الله عنهم،"
"He continued in Maghrib till his death, and had for successor his son al-Aghlab, who was succeeded by his descendants, till at last the authority devolved to this Ziadat Allah.”",فما زال بالمغرب إلى أن توفي وخلف ولده الأغلب ثم أولاده إلى أن صار الأمر إلى زيادة الله هذا.
سقطمنالنسخة,انتهى ما ذكره ابن عساكر.
"His genealogy is again given in the life of Ali Ibn al-Katta; there is some slight difference between it and that mentioned here by Ibn Asakir, and! have set them down just as I found them.","وفي ترجمة أبي القاسم علي بن القطاع اللغوي هذا النسب، وبينهما اختلاف قليل، لكني نقلته على ما وجدته في الموضعين."
"Another historian says: Abu Mudar Ziadat Allah Ibn Muhammad Ibn Ibrahim Ibn al-Aghlab died at Al-Rakka; his body was borne in a bier to Jerusalem and there interred in the year two hundred and ninety six (A. D. nine hundred and eight or nine hundred and nine). A space of five years, nine months, and fifteen days elapsed from the time of his accession till he abandoned Kairawan, when (his general) Ibrahim Ibn al-Aghlab was defeated by Abu Abd Allah al-Shii.","وقال غير ابن عساكر: توفي أبو مضر زيادة الله بن محمد بن إبراهيم بن الأغلب بالرقة، وحمل تابوته إلى القدس الشريف، ودفن بها في سنة ست وتسعين ومائتين، وكانت مدة مملكته إلى أن خرج عن القيروان خمس سنين وتسعة أشهر وخمسة عشر يوماً."
"On learning this event, he packed up his wealth, and taking with him “ the principal ladies of his harem, he left Rakkada during the night. Ibrahim Ibn al-Aghlab was then proclaimed sovereign. The Aghlabite dynasty reigned ‘‘two hundred and twelve years, five months, and fourteen days.” Such is the summary of these events, which it would be too long to relate in full.","وكان سبب خروجه من القيروان أن أبا عبد الله الشيعي المذكور لما هزم إبراهيم بن الأغلب ، بلغ الخبر زيادة الله المذكور فشد أمواله وأخذ خواص حرمه وخرج من رقادة ليلاً، وبعد خروجه بويع إبراهيم بن الأغلب. وكانت مملكة بني الأغلب مائتي سنة واثنتي عشرة سنة وخمسة أشهر وأربعة عشر يوماً، والشرح في ذلك يطول فاختصرته."
سقطمنالنسخة,"حسان التنوخي\r\nأبو ليلى حسان بن سنان بن أوفى بن عوف التنوخي وهو جد إسحاق بن البهلول؛ [سمع أنس بن مالك رضي الله عنه؛ روى عنه ابن ابنه إسحاق، وقال أبو حاتم محمد بن يوسف بن يعقوب بن إسحاق بن البهلول: قال جدي إسحاق عن جدي حسان] قال: خرجت في وفد من أهل الأنبار إلى الحجاج إلى واسط نتظلم إليه من عامله علينا الرقيل، فدخلنا ديوانه فرأيت شيخاً والناس حوله يكتبون عنه، فسألت عنه فقيل لي: أنس بن مالك، فوقفت عليه فقال لي: من أين فقلت: من الأنبار، جئنا إلى الأمير نتظلم إليه، فقال لي: بارك الله فيك، فقلت: حدثني بشيء سمعته من رسول الله صلى الله عليه وسلم يا خادم رسول الله صلى الله عليه وسلم، فقال: سمعته يقول: مر بالمعروف وأنه عن المنكر ما استطعت؛ وأعجلني أصحابي فلم أسمع منه غير هذا الحديث؛ [قال أبو حاتم] وكان إسحاق يقول: أرجو أن أكون ممن سبقت [فيه] دعوة رسول الله صلى الله عليه وسلم بقوله: طوبى لمن رآني ولمن رأى من رآني. وكان من بركة دعاء أنس لحسان أنه عاش مائة سنة وعشرين سنة، وخرج من أولاده جماعة فقهاء وقضاة ورؤساء وصلحاء [وكتاب وزهاد؛ ولذ حسان سنة ستين من الهجرة]، وتوفي سنة 180 رحمه الله تعالى [وكان أحياناً يكنى أبا العلاء] ولد بالأنبار على النصرانية وكانت دينه ودين آبائه [وكانت له حين أسلم ابنه بالغة فأقامت على النصرانية فلما حضرتها الوفاة أوصت لدير تنوخ بالأنبار] ؛ وكان حسان يتكلم ويقرأ ويكتب بالفارسية والسريانية والعربية ولحق الدولتين، فلما قلد أبو العباس السفاح ربيعة الرأي قضاء الأنبار، أتي بكتب مكتوبة بالفارسية فلم يحسن أن يقرأها، [فطلب رجلاً] ثقة ديناً يحسن قراءتها فدل على حسان بن سنان فجيء به فكان يقرأ له الكتب الفارسية، فلما اختبره رضي مذهبه واستكتبه على جميع أمره."
ABU SALAMA HAFS AL-KHALLAL,أبو سلمة الخلال
"Abu Salama Hafs Ibn Suleiman al-Khallal al-Hamdani was a client, by enfranchisement, to al-Sabi (a branch of the great tribe of Hamdan), and vizir to Abu Al-Abbas al-Saffah, the first of the Abbaside caliphs. Abu Salama was the first person under the Abbasides who received the name of vizir and was publicly addressed as such; for this appellation was not known before, either under the Omaiyide dynasty or any other.","أبو سلمة حفص بن سليمان الخلال الهمداني مولى السبيع وزير أبي العباس السفاح أول خلفاء بني العباس؛ وأبو سلمة أول من وقع عليه اسم الوزير ، وشهر بالوزارة في دولة بني العباس ولم يكن من قبله يعرف بهذا النعت، لا في دولة بني أمية ولا في غيرها من الدول."
"Being versed in literature and skilled in politics and government, his conversation was both amusing and instructive, for which reason Al-Saffah took pleasure in his society. He possessed a large fortune, having followed the profession of money-changer at Kufa; and he spent great sums in support of (the cause of) the Abbasides. He went to Khorasan for that object with Abu Muslim to second him.","وكان السفاح يأنس به، لأنه كان ذا مفاكهة حسنة وممتعاً في حديثه، أديباً، عالماً بالسياسة والتدبير، وكان ذا يسار ويعالج الصرف بالكوفة، وأنفق أموالاً كثيرة في إقامة دولة بني العباس، وصار إلى خراسان في هذا المعنى، وأبو مسلم الخراساني يومئذ تابع له في هذا الأمر،"
