حي بن يقظان تأليف ابن طُفيل,HAYY IBN YAQZAN a Philosophical Tale of IBN TUFAYL
"وكان يحكم بأن الروح الذي لجميع ذلك النوع شيء واحد، وأنه لم يختلف إلا أنه انقسم على قلوب كثيرة، وأنه لو أمكن أن يجمع جميع الذي افترق في تلك القلوب منه ويُجعل في وعاء واحد لكان كله شيئًا واحدًا بمنزلة ماء واحد أو شراب واحد يفرق على أوانٍ كثيرة ثم يجمع بعد ذلك، فهو في حالتي تفريقه وجمعه شيء واحد إنما الغرض له التكثر بوجه ما، فكان يرى النوع بهذا النظر واحدًا ويجعل كثرة أشخاصه بمنزلة كثرة أعضاء الشخص الواحد التي لم تكن كثيرة في الحقيقة.","Hayy reasoned that the spirit present throughout the species must be a single entity, undifferentiated except through its division among numerous hearts. If somehow what was divided among all those hearts could be collected in one great vessel, then it would be one thing, like one quantity of water or juice divided into different bowls and then collected again. Together or separate, the identity is the same. Plurality is predictable of it only from a certain point of view. Hayy thus saw whole species as one in this respect, likening the plurality of individuals to the plurality of each individual’s parts, which are not really many."
ثم كان يُحضر أنواع الحيوانات كلها في نفسه ويتأملها فيراها تتفق في أنها تحس وتغتذي وتتحرك بالإرادة إلى أي جهة شاءت وكان قد علم أن هذه الأفعال هي أخص أفعال الروح الحيواني وأن سائر الأشياء التي تختلف بها بعد هذا الاتفاق ليست شديدة الاختصاص بالروح الحيواني.,"Next Hayy mentally combined all animal species for consideration together. He saw that they were alike in having sensation, nutrition, and voluntary motion in whichever direction they pleased. These activities, he had learned already, were characteristic of the animal spirit; whereas the respects in which they differed, were not particularly essential to the animal spirit."
"فظهر له بهذا التأمل أن الروح الحيواني الذي لجميع جنس الحيوان واحد بالحقيقة وإن كان فيه اختلاف يسير اختص به نوع دون نوع، بمنزلة ماء واحد مقسوم على أوانٍ كثيرة بعضه أبرد من بعض، وهو في أصله واحد. وكل ما كان في طبقة واحدة من البرودة فهو بمنزلة اختصاص ذلك الروح الحيواني بنوع واحد وإن عرض له التكثر بوجه ما، فكان يرى جنس الحيوان كله واحدًا بهذا النوع من النظر.","These reflections made it apparent to him that the vital spirit in all animal genera is in reality one being, despite the slight differences that differentiate one species from another. Just as water from a single source may be divided into different bowls, and may be cooler in some than in others, so the animal spirit is one; its specific differentia are like the different temperatures of the water, while the animal itself is like the water, which remains one even though it happens to be divided. By thinking in this way Hayy was able to see the whole animal kingdom as one being."
"ثم كان يرجع إلى أنواع النبات على اختلافها، فيرى كل نوع منها تشبه أشخاصه بعضها بعضًا في الأغصان والورق والزهر والثمر والأفعال، فكان يقيسها بالحيوان ويعلم أن لها شيئًا واحدًا اشتركت فيه هو لها بمنزلة الروح للحيوان وأنها بذلك الشيء واحد.","He turned his mind to the various plant species, observing the likeness of all their members in leaf, branch, flower, and fruit, and all the plant functions. By analogy with animals he saw that, parallel to the animal spirit, plants too must have a single substance in which all partake, and which makes them all one being."
وكذلك كان ينظر إلى جنس النبات كله فيحكم باتحاده بحسب ما يراه من اتفاق فعله في أنه يتغذى وينمو.,"Likewise, considering the plant kingdom at large, he judged it must be one because of the universality of growth and nutrition."
"ثم كان يجمع في نفسه جنس الحيوان وجنس النبات فيراهما جميعًا متفقين في الاغتذاء والنمو، إلا أن الحيوان يزيد على النبات بفضل الحس والإدراك والتحرك.","At this he joined plants and animals together in his mind, since they were alike in nutrition and growth, although the animals are higher than the plants in that they possess sense perception, locomotion, and sensation as well."
"وربما ظهر في النبات شيء شبيه به مثل تحوُّل وجوه الزهر إلى جهة الشمس وتحرُّك عروقه إلى الغذاء بسبب شيء واحد مشترك بينهما هو في أحدهما أتمُّ وأكمل وفي الآخر قد عاقه عائق ما، وأن ذلك بمنزلة ماء واحد قسم بقسمين أحدهما جامد والآخر سيال فيتحد عنده النبات والحيوان.","Still plants seemed to have something roughly similar, as, for example, when flowers turn toward the sun, or roots towards food. These considerations showed him that plants and animals are united by a single common entity, more perfectly represented in one and somehow impeded in the other. It was as if water were divided, part running freely and part frozen over. Thus he saw how animals and plants are one being."
"ثم ينظر إلى الأجسام التي لا تحس ولا تغتذي ولا تنمو من الحجارة والتراب والماء والهواء واللهب فيرى أنها أجسام مقدَّر لها طول وعرض وعمق وأنها لا تختلف، إلا أن بعضها ذو لون وبعضها لا لون له وبعضها حار والآخر بارد ونحو ذلك من الاختلافات.","Next he investigated bodies that do not sense or feed or grow such as stones, earth, water, air, and flame. He saw that these bodies are bounded in length, breadth, and depth, the sole differences among them being in terms of such contrarieties as that some were colored and others colorless; some hot, others cold."
"وكان يرى أن الحار منها يصير باردًا والبارد يصير حارًّا وكان يرى الماء يصير بخارًا والبخار ماء والأشياء المحترقة تصير جمرًا ورمادًا ولهيبًا ودخانًا، والدخان إذا وافق في صعوده قبة حجر انعقد فيه وصار بمنزلة سائر الأشياء الأرضية فيظهر له بهذا التأمل أن جميعها شيء واحد في الحقيقة وإن لحقتها الكثرة بوجه ما فذلك مثل ما لحقت الكثرة للحيوان والنبات.","He perceived that warm bodies grow cold and cold ones hot; he watched water turn to steam, steam to water; burning things to embers, ashes, flame and smoke. When rising smoke was trapped in a hollow, it precipitated and in its place appeared bits of solid, rather like earth. This line of thinking, similar to the reasoning he had done on animals and plants, made evident to him that all physical things, despite the involvement of diversity in some respects, are one in reality."
"ثم ينظر إلى الشيء الذي اتحد به عند النبات والحيوان فيرى أنه جسم ما مثل هذه الأجسام: له طول وعرض وعمق وهو إما حار وإما بارد كواحد من هذه الأجسام التي لا تحس ولا تتغذى وإنما خالفها بأفعاله التي تظهر عنه بالآلات الحيوانية والنباتية لا غير، ولعل تلك الأفعال ليست ذاتية وإنما تسري إليه من شيء آخر ولو سرت إلى هذه الأجسام الأُخر لكانت مثله،","He then turned to that entity which in his belief united plants and animals. It had to be a body with length, breadth and depth and, like any ordinary body that does not feed or perceive, either hot or cold. The only differences between this archetypal living being and any inanimate objects, in fact, were the life functions it manifested through the use of “tools” in animals and plants. But perhaps these functions were not properly theirs, but came in from some other being. And if they came to other objects, perhaps these too would come to life!"
"وكان في هذه الحال لا يرى شيئًا غير الأجسام، فكان بهذا الطريق يرى الوجود كله شيئًا واحدًا وبالنظر الأول يرى الوجود كثرة لا تنحصر ولا تتناهى.","for at this stage the only beings he knew were physical. In this way Hayy saw all being as one, although it had appeared at first glance boundless and without number."
"وبقي بحكم هذه الحالة مدة، ثم إنه تأمل جميع الأجسام حيها وجامدها، وهي التي عنده تارةً شيء واحد وتارةً كثيرة لا نهاية لها، فرأى أن كل واحد منها لا يخلو من أحد أمرين: إما أن يتحرك إلى جهة العلو مثل الدخان واللهيب والهواء إذا حصل تحت الماء، وإما أن يتحرك إلى الجهة المضادة لتلك الجهة وهي جهة السفل مثل الماء وأجزاء الحيوان والنبات.","For some time he rested content at this stage. But then he began to wonder about all these physical things, both living and non-living, which seemed sometimes to be one, sometimes to be infinite in number and diversity. He observed that all must either rise like smoke, flame, and air under water, or fall like water, particles of earth, and parts of plants and animals."
"وأن كل جسم من هذه الأجسام لن يعرى عن إحدى هاتين الحركتين وأنه لا يسكن إلا إذا منعه مانع يعوقه عن طريقه مثل الحجر النازل يصادف وجه الأرض صلبًا فلا يمكنه أن يخرقه، ولو أمكنه ذلك لما انثنى عن حركته فيما يظهر ولذلك إذا رفعته وجدته يتحامل عليك بميله إلى جهة السفل طالبًا للنزول.","All such bodies must move in either one direction or the other and not come to rest unless stopped by something, as when a falling rock hits hard ground and cannot break through—for if it could, it would obviously have gone on falling: Thus you can feel it tugging downward against you if you try to lift it."
"وكذلك الدخان في صعوده لا ينثني إلا أن يصادف قبة صلبة تحبسه؛ فحينئذٍ ينعطف يمينًا وشمالًا، ثم إذا تخلَّص من تلك القبة خرق الهواء صاعدًا لأن الهواء لا يمكنه أن يحبسه.","In the same way Hayy found that smoke would not stop rising unless trapped; and even then it would curl around, left and right, and if there were an air passage, escape and continue rising, since air could not contain it."
"وكان يرى أن الهواء إذا ملئ به زق جلد ورُبط ثم غوِّص تحت الماء طلب الصعود وتحامل على من يمسكه تحت الماء، ولا يزال يفعل ذلك حتى يوافي موضع الهواء، وذلك بخروجه من تحت الماء فحينئذٍ يسكن ويزول عنه ذلك التحامل والميل إلى جهة العلو الذي كان يوجد منه قبل ذلك.","Hayy observed that if he filled a skin with air, tied it shut and pushed it under water it would try to wriggle free and rise until taken out and restored to air. Then it would stop wriggling upwards and lie quite still."
"ونظر هل يجد جسمًا يعرى عن إحدى هاتين الحركتين أو الميل إلى إحداهما في وقت ما؟ فلم يجد ذلك في الأجسام التي لديه، وإنما طلب ذلك لأنه طمع أن يجده فيرى طبيعة الجسم من حيث هو جسم دون أن يقترن به وصف من الأوصاف التي هي منشأ التكثر.","Hayy tried to find some body that neither rose nor fell or exerted no pull in either direction, but among the objects with which he was familiar he could find nothing of the kind. He sought such an object purely in the hope of finding out what it was to be a body as such, free of all the qualities that give rise to plurality."
"فلما أعياه ذلك ونظر إلى الأجسام التي هي أقل الأجسام حملًا للأوصاف فلم يرها تعرى عن أحد هذين الوصفين بوجه، وهما اللذان يعبَّر عنهما بالثقل والخفة، فنظر إلى الثقل والخفة هل هما للجسم من حيث هو جسم أو هما لمعنًى زائد على الجسمية؟","After he had worn himself out looking, studying all the objects that bore the fewest predicates without finding one that could not be said to be either ‘heavy’ or ‘light’ as we express it, he began to investigate heaviness and lightness themselves. Did they belong to bodies qua body, or did both arise from something distinct from the physical?"
فظهر له أنهما لمعنًى زائد على الجسمية لأنهما لو كانا للجسم من حيث هو جسم لما وجد جسم إلا وهما له.,"It seemed plain to him that both must stem from some separate principle, for if they belonged to body in virtue of its being body, then every material object would have both."
"ونحن نجد الثقيل لا توجد فيه الخفة والخفيف لا يوجد فيه الثقل، وهما لا محالة جسمان ولكل منهما معنًى متفرد به عن الآخر زائد على جسميته. وذلك المعنى هو الذي به غاير كل واحد منهما الآخر ولولا ذلك لكانا شيئًا واحدًا من جميع الوجوه.","In fact, however, we know that heavy objects have no buoyancy, and light ones no gravity; yet they remain bodies all the same. Thus over and above physicality each has its own differentiating factor. If not for this added factor, the two would be identical."
"فتبين له أن حقيقة كل واحد من الثقيل والخفيف مركبة من معنيين؛ أحدهما: ما يقع فيه الاشتراك منهما جميعًا، وهو معنى الجسمية، والآخر ما تنفرد به حقيقة كل واحد منهما عن الآخر. وهما إما الثقل في أحدهما وإما الخفة في الآخر، المقترنان بمعنى الجسمية؛ أي المعنى الذي يحرك أحدهما الآخر علوًا والآخر سفلًا.","Clearly the substantiality of objects both heavy and light was compounded of two factors, the physicality they have in common, and linked with it either gravity or buoyancy—that is what moves them either upwards or downwards and makes them different."
"وكذلك نظر إلى سائر الأجسام من الجمادات والأحياء فرأى أن حقيقة وجود كل واحد منهما مركبة من معنى الجسمية ومن شيء آخر زائد على الجسمية، إما واحد وإما أكثر من واحد، فلاحت له صور الأجسام على اختلافها وهو أول ما لاح له من العالم الروحاني، إذ هي صور لا تدرك بالحس وإنما تدرك بضرب ما من النظر العقلي.","Regarding all bodies, living and non-living in the same light, Hayy saw that the being of each of them was made up in the same way of corporeality plus some factor or factors. Before him loomed the forms of physical things in all their diversity. This was his first glimpse of the spiritual world. For these forms cannot be apprehended by the senses, but only by reasoning."
"ولاح له في جملة ما لاح من ذلك أن الروح الحيواني الذي مسكنه القلب — وهو الذي تقدم شرحه أولًا — لا بد له أيضًا من معنًى زائد على جسميته يصلح بذلك المعنى لأن يعمل هذه الأعمال الغريبة التي تختص به من ضروب الإحساسات وفنون الإدراكات وأصناف الحركات؛ وذلك المعنى هو صورته وفضله الذي انفصل به عن سائر الأجسام، وهو الذي يعبر عنه النظَّار بالنفس الحيوانية.","And as he was awakening to these things, it dawned on him that the animal spirit, which lives in the heart and at which he had first probed with his dissections, must itself have a principle over and above its corporeality which would enable it to carry out all its wonderful tasks, as true subject of the various modes of sensing, apprehending and moving. This is the form which differentiates it from all other bodies. Philosophers term it the animal soul."
"وكذلك أيضًا للشيء الذي يقوم للنبات مقام الحار الغريزي للحيوان، شيء يخصه هو فصله وهو الذي يعبَّر عنه النظَّار بالنفس النباتية.","The same holds for plants: whatever they have to fill the role of body-heat in animals would have its own special form, called by philosophers the vegetative soul."
"وكذلك لجميع الأجسام الجمادات — وهي ما عدا الحيوان والنبات مما في عالم الكون والفساد — شيء يخصها به يفعل كل واحد منها فعله الذي يختص به مثل صنوف الحركات وضروب الكيفيات المحسوسة عنها، وذلك الشيء هو صورة كل واحد منها وهو الذي يعبر النظَّار عنه بالطبيعة.","And even inanimate objects—that is all things in the world of generation and decay besides plants and animals—must have some special thing to make them behave in their own peculiar way, and give them their particular qualities to the senses and their ways of moving. This is the form, or as philosophers call it, the nature of the thing."
"فلما وقف بهذا النظر على أن حقيقة الروح الحيواني الذي كان تشوقه إليه أبدًا مركبة من معنى الجسمية ومن معنًى آخر زائد على الجسمية وأن معنى هذه الجسمية مشترك لسائر الأجسام، والمعنى الآخر المقترن به ينفرد به هو وحده هان عنده معنى الجسمية فاطرحه وتعلق فكره بالمعنى الثاني، وهو الذي يعبر عنه بالنفس فتشوق إلى التحقق به فالتزم الفكرة فيه، وجعل مبدأ النظر في ذلك تصفح الأجسام كلها لا من جهة ما هي أجسام بل من جهة ما هي ذوات صور تلزم عنها خواص ينفصل بها بعضها عن بعض.","When Hayy understood, through this line of reasoning, that the substance of the animal spirit, toward which all his love had been directed, was compounded out of the corporeal factor and another, non-physical factor, and that it had the former in common with every other body, while the latter, linked with it, belonged exclusively to this spirit, he felt contempt for physicality. He dropped the physical and his mind fastened on the other factor, which is called sim ply the soul. He was now anxious to learn all he could about the soul Turning his thought in this direction, he started off by going over in his mind all physical objects, considered not as bodies but as having forms from which emerge their distinguishing characteristics."
"فتتبع ذلك وحصره في نفسه، فرأى جملة من الأجسام تشترك في صورة ما يصدر عنها فعل ما أو أفعال ما، ورأى فريقًا من تلك الجملة مع أنه يشارك الجملة بتلك الصورة، يزيد عليه بصورة أخرى يصدر عنها أفعال ما ورأى طائفة من ذلك الفريق مع أنها تشارك الفريق في الصورة الأولى والثانية تزيد عليه بصورة ثالثة تصدر عنها أفعال ما خاصة بها.","Following this up in many specific cases, he was able to see how a great number of bodies participate in a certain form, from which emanates a given mode or given modes of behavior. Within this group a subclass, besides sharing the form of the rest, has an additional form from which further functions emerge. A still smaller class displays both of these plus a third form, generating still more special behavior."
"مثال ذلك أن الأجسام الأرضية مثل التراب والحجارة والمعادن والنبات والحيوان وسائر الأجسام هي جملة واحدة تشترك في صورة واحدة تصدر عنها الحركة إلى الأسفل ما لم يعقها عائق عن النزول، ومتى حرِّكت إلى جهة العلو بالقسر ثم تُركت تحركت بصورتها إلى أسفل.","For example, everything earthen, such as soil, rocks, minerals, plants, animals, and all other heavy objects, makes up a single totality which participates in a single form from which issues the tendency to fall when unimpeded or when lifted and let go."
"وفريق من هذه الجملة، وهو النبات والحيوان، مع مشاركته الجملة المتقدمة في تلك الصورة يزيد عليها صورة أخرى، يصدر عنها التغذي والنمو.","Plants and animals are a subclass of this group, but besides sharing this form with all the rest, they have an added form from which emanate the activities of nutrition and growth."
"والتغذي: هو أن يخلف المغتذي بدل ما تحلل بالفعل منه، بواسطة قوة الغاذية التي تحيل ما حصل له كمال الاستعداد، بسبب القوة الهاضمة من الغذاء بالقوة الواصلة بواسطة الجاذبية إلى مشاكلة جوهر المغتذي؛ حفظًا لشخصه وتكميلًا لمقداره.",Nutrition is an interchange by which the being nourished replaces matter that breaks down by ingesting material similar to itself and assimilating this to its own substance.
"والنمو: هو الزيادة بواسطة القوة النامية، وهي التي تزيد في أقطار الجسم، أعني الطول والعرض والعمق، على التناسب الطبيعي بما تدخل في أجزائه من الغذاء، فهذان الفعلان عامان للنبات والحيوان، وهما لا محالة صادران عن صورة مشتركة لهما، وهي المعبر عنها بالنفس النباتية.","Growth is movement in all three dimensions at once, according to a set proportion. These two functions are universal among plants and animals and must therefore issue from a form shared by both plants and animals. This form is what is called the vegetative soul."
وطائفة من هذا الفريق وهو الحيوان خاصة مع مشاركته الفريق المتقدم في الصورة الأولى والثانية تزيد عليه بصورة ثالثة يصدر عنها الحس والتنقل من حين إلى آخر.,"A still smaller subdivision, namely the animals, while sharing the first form with the whole group and the second with the subclass, surpasses both by the exclusive possession of a third form which gives rise to sensation and locomotion."
"ورأى أيضًا كل نوع من أنواع الحيوان له خاصية ينحاز بها عن سائر الأنواع وينفصل بها متميزًا عنها؛ فعلم أن ذلك صادر له عن صورة له تخصه هي زائدة عن معنى الصورة المشتركة له ولسائر الحيوان، وكذلك لكل واحد من أنواع النبات مثل ذلك.","Further, Hayy knew that every animal species had its own distinguishing characteristics. He now understood that this differentiating principle stemmed from the species’ own distinctive form, superadded to the form it held in common with all other animals. Each plant species had something similar."
"فتبين له أن الأجسام المحسوسات التي في عالم الكون والفساد بعضها تلتئم حقيقته من معانٍ كثيرة زائدة على معنى الجسمية وبعضها من معانٍ أقل، وعلم أن معرفة الأقل أسهل من معرفة الأكثر؛ فطلب أولًا الوقوف على حقيقة صورة الشيء الذي تلتئم حقيقته من أقل الأشياء، ورأى أن الحيوان والنبات لا تلتئم حقائقهما إلا من معانٍ كثيرة لتفنن أفعالهما، فأخَّر التفكير في صورهما.","Plainly some of the objects of sense perception in the world of generation and decay were made up of many factors over and above physicality, while others had only a few. He recognized that it would be easier to grasp the simpler than the more complex, so he decided, to start with, to try to understand whatever had the fewest components to its make-up. Seeing that plants and animals must be composed of numerous factors because of the complexity of the tasks of life, he put off consideration of their forms for the present."
وكذلك رأى أن أجزاء الأرض بعضها أبسط من بعض فقصد منها إلى أبسط ما قدر عليه.,"By the same token he observed that some pieces of earth were simpler than others, so he directed his attention to the simplest of these he could obtain."
"وكذلك رأى أن الماء شيء قليل التركيب لقلة ما يصدر عن صورته من الأفعال، وكذلك رأى النار والهواء.",Likewise he recognized that water must be very simple since so few activities issue from its form. The same was true of fire and air.
"وكان قد سبق إلى ظنه أولًا أن هذه الأربعة يستحيل بعضها إلى بعض، وأن لها شيئًا واحدًا تشترك فيه وهو معنى الجسمية، وأن ذلك الشيء ينبغي أن يكون خلوًا من المعاني التي تميز بها كل واحد من هذه الأربعة عن الآخر، فلا يمكن أن يتحرك إلى فوق ولا إلى أسفل ولا أن يكون حارًّا ولا يكون باردًا ولا يكون رطبًا ولا يابسًا؛ لأن كل واحد من هذه الأوصاف لا يعم جميع الأجسام، فليست إذن للجسم بما هو جسم.","At first he had supposed not only that these four, fire, water, earth, and air, were interchangeable but also that all partook of one common entity, that is materiality, which was itself necessarily devoid of the factors which differentiate the four. This must neither rise nor fall; it must be neither hot nor cold, moist nor dry. For all these predicates are inapplicable to body qua body, since none is applicable to all bodies."
"فإذا أمكن وجود جسم لا صورة فيه زائدة على الجسمية فليس تكون فيه صفة من هذه الصفات، ولا يمكن أن تكون فيه صفة إلا وهي تعم سائر الأجسام المتصورة بضروب الصور.","Therefore if an object could exist which had no form beyond physicality, not one of these predicates would be true of it, and no predicate at all could apply to it which did not apply to all physical things, regardless of their form."
"فنظر هل يجد وصفًا واحدًا يعم جميع الأجسام: حيها وجمادها، فلم يجد شيئًا يعم الأجسام كلها إلا معنى الامتداد الموجود في جميعها، في الأقطار الثلاثة التي يعبَّر عنها بالطول والعرض والعمق فعلم أن هذا المعنى هو للجسم من حيث هو جسم لكنه لم يتأتَّ له بالحس وجود جسم بهذه الصفة وحدها حتى لا يكون فيه معنًى زائد على الامتداد المذكور، ويكون بالجملة خلوًا من سائر الصور.","He searched for someone characteristic common to all objects, animate and inanimate, but the only thing he could find in all physical objects was extension in three dimensions. This he recognized belonged to physical things purely by virtue of the fact that they were physical. But his senses did not so readily reveal any object with just this attribute of extension and no other."
"ثم تفكر في هذا الامتداد إلى الأقطار الثلاثة هل هو معنى الجسم بعينه وليس ثم معنًى آخر أو ليس الأمر كذلك، فرأى أن وراء هذا الامتداد معنًى آخر هو الذي يوجد فيه هذا الامتداد، وأن الامتداد وحده لا يمكن أن يقوم بنفسه كما أن ذلك الشيء الممتد لا يمكن أن يقوم دون امتداد.","He then examined this notion of extension, asking himself whether it was just this that belonged to material things or whether there was not perhaps, some further principle; and he realized that behind extension there must be another factor in which extension itself was grounded. For bare extension could no more subsist by itself than the extended object could exist without extension."
"واعتبر ذلك ببعض هذه الأجسام المحسوسة ذوات الصور كالطين مثلًا، كان له طول وعرض وعمق على قدر ما، ثم إن تلك الكرة بعينها لو أُخذت وردَّت إلى شكل مكعب أو بيضي لتبدل ذلك الطول وذلك العرض وذلك العمق وصارت على قدر آخر غير الذي كانت عليه، والطين واحد بعينه لم يتبدل، غير أنه لا بد له من طول وعرض وعمق على أي قدر كان، ولا يمكن أن يعرى عنها غير أنها لتعاقبها عليه تبيَّن له أنها معنًى على حياله ولكونه لا يعرى بالجملة عنها تبيَّن له أنها من حقيقته.","Hayy tried out this idea on several form-bearing objects such as clay for example. He found that if he molded clay into some shape, for example into a ball, it had length, width and depth in a certain ratio; if he then took this ball and worked it into a cube or egg shape, its length, width and depth took on different proportions. But it was still the same clay; and, no matter what the ratio, it could not be divested of length, breadth, and depth. The fact that one proportion could replace another made it apparent to him that the dimensions were a factor in their own right, distinct from the clay itself. But the fact that the clay was never totally devoid of dimensions made it plain to him that they were part of its being."
"فلَاحَ له بهذا الاعتبار أن الجسم بما هو جسم مركب على الحقيقة من معنيين؛ أحدهما: يقوم منه مقام الطين للكرة في هذا المثال، والآخر: يقوم مقام طول الكرة وعرضها وعمقها أو المكعب أو أي شكل كان به.","His experiment suggested to him that bodies, qua body, are really composed of two factors, one analogous to the clay of the example, the other to the length, width, and depth of the ball or block or other figure the clay might have."
"وأنه لا يفهم الجسم إلا مركبًا من هذين المعنيين، وأن أحدهما لا يستغني عن الآخر.","The truth was, he could not comprehend physical things at all unless he conceived of them as compounded of these two factors, neither of which can subsist without the other."
"ولكن الذي يمكن أن يتبدل ويتعاقب على أوجه كثيرة وهو معنى الامتداد يشبه الصورة التي لسائر الأجسام ذوات الصور، والذي يثبت على حال واحدة وهو الذي ينزل منزلة الطين المتقدم يشبه معنى الجسمية التي لسائر الأجسام ذوات الصور.","The variable factor, which can present a succession of many different faces, that is extension, corresponds to the form of all other bodies. The other factor, which remains constant like the clay of the example, corresponds to materiality in all other bodies."
وهذا الشيء الذي هو بمنزلة الطين في هذا المثال هو الذي يسميه النظار المادة والهيولى وهي عارية عن الصورة جملة.,"In philosophy the factor analogous to the clay is called hyle, or matter. It is entirely devoid of forms."
"فلما انتهى نظره إلى هذا الحد وفارق المحسوس بعض مفارقة وأشرف على تخوم العالم العقلي، استوحش وحن إلى ما أَلِفَه من عالم الحس، فتقهقر قليلًا وترك الجسم على الإطلاق؛ إذ هذا الأمر لا يدركه الحس ولا يقدر على تناوله. وأخذ أبسط الأجسام المحسوسة التي شاهدها وهي تلك الأربعة التي كان قد وقف نظره عليها.","When his thinking had risen to this level and the sensory world had been left behind to some extent, just as he was mounting to a height from which he could gaze out toward the approaches of the world of mind, Hayy felt alien and alone. He longed for the familiar world of the senses, balked at the notion of unqualified body, a thing he could neither perceive nor possess, and fell back on the simplest objects he could see, the four he had already singled out."
"فأول ما نظر إلى الماء فرأى أنه إذا خُلِّي وما تقتضيه صورته ظهر منه برد محسوس وطلب النزول إلى أسفل فإذا سخِّن، إما بالنار وإما بحرارة الشمس، زال عنه البرد أولًا وبقي فيه طلب وصار يطلب الصعود إلى فوق، فزال عنه بالجملة الوصفان اللذان كانا أبدًا يصدران عنه وعن صورته ولم يُعرف من صورته أكثر من صدور هذين الفعلين عنها.","He examined water first and found that if left to itself, determined only by its own form, it was perceptibly cold and downward-seeking; but if warmed by fire or the heat of the sun, first its coldness would pass, leaving only its proclivity to fall; then, if it were heated strongly, this too would vanish, and it would seek to rise, leaving it without either of the characteristics which had sprung from its form. Yet all he knew of that form was that these functions issued from it."
"فلما زال هذان الفعلان بطل حكم الصورة فزالت الصورة المائية عن ذلك الجسم عندما ظهرت منه أفعال من شأنها أن تصدر عن صورة أخرى وحدثت له صورة أخرى بعد أن لم تكن وصدر عنه بها أفعال لم يكن من شأنها أن تصدر عنه وهو بصورته الأولى؛ فعلم بالضرورة أن كل حدَث لا بد له من محدث، فارتسم في نفسه بهذا الاعتبار فاعل للصورة ارتسامًا على العموم دون تفصيل.","When they were gone the rule of that form must have ended. The form of water must have left this body, since it now exhibited behavior characteristic of some other form. A new form not previously present must have come into being here, giving rise to behavior unlike that it had shown under its original form. Now Hayy knew by necessity that all that comes into being must have a cause. From this consideration he gained a vague and general notion of the cause of this form."
ثم إنه تتبع الصور التي كان قد علمها قبل ذلك صورة صورة فرأى أنها كلها حادثة وأنها لا بد لها من فاعل.,One by one he went over the forms he had known before and saw that all of them had come to be and all must have a cause.
"ثم إنه نظر إلى ذوات الصور فلم يرَ أنها شيء أكثر من استعداد الجسم لأن يصدر عنه ذلك الفعل مثل الماء فإنه إذا أفرط عليه التسخين استعد للحركة إلى فوق وصلح لها، فذلك الاستعداد هو صورته إذ ليس ها هنا إلا جسم وأشياء تحس عنه بعد أن لم تكن، فصلوح الجسم لبعض الحركات دون بعض هو استعداده بصورته.","He then considered that in which the forms inhere and found it to be no more than a body’s propensity for such and such an action to arise from it. Water, for example, has a propensity to rise when strongly heated. This propensity is due to the form, for there is nothing there but body and certain perceptible things—qualities and ways of moving, for example—which come into being, and the cause who creates them. Thus the proneness of a body to certain kinds of motion as opposed to others must be due to its disposition or form."
ولاح له مثل ذلك في جميع الصور فتبين له أن الأفعال الصادرة عنها ليست في الحقيقة لها وإنما هي لفاعل يفعل بها الأفعال المنسوبة إليها.,"Hayy realized that the same would be true of all forms. Clearly the acts emerging from forms did not really arise in them, but all the actions attributed to them were brought about through them by another Being."
"وهذا المعنى الذي لاح له، وهو قول رسول الله ﷺ: «كنت سمعه الذي يسمع به وبصره الذي يبصر به.»",This idea to which he had now awakened is the meaning of the Prophet’s words: “I am the ears He hears by and the sight He sees by.”
وفي محكم التنزيل: فَلَمْ تَقْتُلُوهُمْ وَلَكِنَّ اللهَ قَتَلَهُمْ وَمَا رَمَيْتَ إِذْ رَمَيْتَ وَلَكِنَّ اللهَ رَمَى.,"As it is written in the unshakable Revelation “It was not you but God who killed them; and when you shot, it was not you who shot, but God.”"
"فلما لاح له من أمر هذا الفاعل ما لاح على الإجمال دون تفصيل حدث له شوق حثيث إلى معرفته على التفصيل، وهو بعدُ لم يكن فارق عالم الحس، فجعل يطلب هذا الفاعل على جهة المحسوسات وهو لا يعلم بعدُ: هل هو واحد أو كثير؟","Possessing now a broad if indistinct notion of this great Subject, Hayy found in himself a burning desire to know Him more fully. But, having as yet not left the sensory world, he tried first to find this Cause among the objects of his senses. Besides, he did not yet know whether He was one or many."
"فتصفح جميع الأجسام التي لديه، وهي التي كانت فكرته أبدًا فيها، فرآها كلها تتكون تارة وتفسد أخرى، وما لم يقف على فساد جملته وقف على فساد أجزائه مثل الماء والأرض فإنه رأى أجزاءهما تفسد بالنار وكذلك الهواء رآه يفسد بشدة البرد حتى يتكون منه الثلج فيسيل ماءً.","Accordingly he scrutinized all the physical things he knew and to which his thinking had always been confined. All of them, he perceived, develop and decay. Those which are not destroyed completely are destroyed at least in part. Water and earth, for example, are at least in part destroyed by fire. Air too, he saw, can be destroyed by a severe chill and turn to snow or water."
"وكذلك سائر الأجسام التي كانت لديه لم يرَ منها شيئًا بريئًا عن الحدوث والافتقار إلى الفاعل المختار، فاطرحها كلها وانتقلت فكرته إلى الأجسام السماوية.","None of the physical things around him was exempt from change, thus none could exist without there being a cause of all this change. Seeing that this was the case Hayy left behind all these things and turned his mind to the heavenly bodies."
